,TenBaiHat,TacGia,TheLoai,,
0,Tuyết Rơi Mùa Hè (25th Làn Sóng Xanh),Văn Mai Hương,0,,
1,Đoạn Kết Mới (Piano Version),Hoàng Dũng,0,,
2,Sau Lưng Anh Có Ai Kìa (Winter Version),Thiều Bảo Trâm,0,,
3,Buồn Không Thể Buông,"Trung Quân, MiiNa (DREAMeR), DREAMeR",0,,
4,Tình Yêu Đến Sau,Myra Trần,0,,
5,Hạnh Phúc Máu,Võ Hạ Trâm,0,,
6,Missing You,Rin,0,,
7,Khác Biệt To Lớn (XHTDRLX2),"Anh Tú, Orange",0,,
8,Anh Không Thể Ngờ (Liam Lofi),"Đinh Tùng Huy, ACV",0,,
9,Đã Đến Lúc,Shin Hồng Vịnh,0,,
10,All I Want For Christmas Is You,Mariah Carey,0,,
11,Pick Out A Christmas Tree,Dan + Shay,0,,
12,Funky Glitter Christmas,NMIXX,0,,
13,Fall In Love Alone,Stacey Ryan,0,,
14,Hidamarinokimi,Sonar Pocket,0,,
15,Hồi Kết,Hà Nhi,0,,
16,Đến Giờ Cơm (XHTDRLX2),Ái Phương,0,,
17,Cô Đơn Trên Sofa,Hồ Ngọc Hà,0,,
18,Người Như Anh,Mai Tiến Dũng,0,,
19,dự báo thời tiết hôm nay mưa,GREY D,0,,
20,Vì Lỡ Yêu Em Rồi,Rum,0,,
21,Thất Tình Thường Xấu Tính,"Lyly, Ricky Star",0,,
22,906090,"Tóc Tiên, Mew Amazing",0,,
23,"Dừng Lại Và Quên Thôi (Original Soundtrack From ""Kẻ Độc Hành"")",Trung Quân,0,,
24,Hối Tiếc,Giang Hồng Ngọc,0,,
25,Kết Thúc Bắt Đầu,"Da LAB, Đức Phúc",0,,
26,Chấp Niệm,Trương Thảo Nhi,0,,
27,Cuộc Gọi Về Nhà (XHTDRLX2),Orange,0,,
28,Lu Mờ Tâm Trí,"Ngô Kiến Huy, Vương Anh Tú",0,,
29,Groove Missing,J.Y. Park,0,,
30,Lời Có Cánh,Osad,0,,
31,Đến Giờ Cơm (XHTDRLX2),Ái Phương,0,,
